,QUESTION,ANSWER_SENTENCE,Q_TEXT,A_TEXT,ENT_SCORE,newCosineSimilarity
257,squeezing oranges to make orange juice ,A physical change involves a change in physical properties,squeezing,physical change,0.0002,0.806730888592
258,squeezing oranges to make orange juice ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition,squeezing,physical changes,0.0002,0.80350896459
259,squeezing oranges to make orange juice ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds.",squeezing,physical changes,0.0002,0.804065949312
260,squeezing oranges to make orange juice ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition.",squeezing,physical changes,0.0002,-0.807926207313
261,Thermal energy that travels from the sun to Earth is transferred by ,Students should realize that water is better than air at conducting energy.,thermal energy,energy,1.0,0.503892355531
262,Thermal energy that travels from the sun to Earth is transferred by ,Some materials conduct energy better than others.,thermal energy,energy,1.0,-0.529371966226
263,Thermal energy that travels from the sun to Earth is transferred by ,"emit (energy, especially light or heat) in the form of rays or waves.",thermal energy,energy,1.0,0.52337734966
264,Thermal energy that travels from the sun to Earth is transferred by ,"the complete process in which energy is emitted by one body, transmitted through an intervening medium or space, and absorbed by another body.",thermal energy,energy,1.0,0.522409459451
265,Thermal energy that travels from the sun to Earth is transferred by ,the process in which energy is emitted as particles or waves.,thermal energy,energy,1.0,0.521616241917
266,Thermal energy that travels from the sun to Earth is transferred by ,The direct transfer of thermal motion (heat) between molecules of objects in direct contact with each other.,thermal energy,heat,0.829,0.513706225605
267,Thermal energy that travels from the sun to Earth is transferred by ,The particles move around from one place to another through the flow of thermal energy during convection.,thermal energy,particles,0.0,0.523180197322
268,Thermal energy that travels from the sun to Earth is transferred by ,The warmed surface water is then transferred downward into the water column by conduction and convection.,thermal energy,warmed surface water,0.0,0.523573796679
269,Thermal energy that travels from the sun to Earth is transferred by ,Heat was transferred from the flame of the stove to the water by convection.,thermal energy,water,0.0,0.523278912322
270,Thermal energy that travels from the sun to Earth is transferred by ,Water vapor in the air rises mostly by convection.,thermal energy,water vapor,0.0,-0.278385829965
271,Thermal energy that travels from the sun to Earth is transferred by ,"Root functions include water and mineral conduction, food and water storage, and anchorage.",thermal energy,water | mineral,0.0,0.521555659902
272,Thermal energy that travels from the sun to Earth is transferred by ,Some materials conduct energy better than others.,transferred,conduct,0.0,-0.529371966226
273,Thermal energy that travels from the sun to Earth is transferred by ,Students should realize that water is better than air at conducting energy.,transferred,conducting,0.0,0.503892355531
274,Thermal energy that travels from the sun to Earth is transferred by ,"Root functions include water and mineral conduction, food and water storage, and anchorage.",transferred,conduction,0.0,0.521555659902
275,Thermal energy that travels from the sun to Earth is transferred by ,The warmed surface water is then transferred downward into the water column by conduction and convection.,transferred,conduction,0.0,0.523573796679
276,Thermal energy that travels from the sun to Earth is transferred by ,The greater the movement of the air or water the greater the rate of heat removal by convection.,transferred,convection,0.0,0.52311490812
277,Thermal energy that travels from the sun to Earth is transferred by ,Water vapor in the air rises mostly by convection.,transferred,convection,0.0,-0.278385829965
278,Thermal energy that travels from the sun to Earth is transferred by ,The warmed surface water is then transferred downward into the water column by conduction and convection.,transferred,convection,0.0,0.523573796679
279,Thermal energy that travels from the sun to Earth is transferred by ,Heat was transferred from the flame of the stove to the water by convection.,transferred,convection,0.0,0.523278912322
280,Thermal energy that travels from the sun to Earth is transferred by ,The particles move around from one place to another through the flow of thermal energy during convection.,transferred,convection,0.0,0.523180197322
281,Thermal energy that travels from the sun to Earth is transferred by ,The direct transfer of thermal motion (heat) between molecules of objects in direct contact with each other.,transferred,direct transfer,1.0,0.513706225605
282,Thermal energy that travels from the sun to Earth is transferred by ,diverge or spread from or as if from a central point.,transferred,diverge | spread,0.0,-0.505758758396
283,Thermal energy that travels from the sun to Earth is transferred by ,"emit (energy, especially light or heat) in the form of rays or waves.",transferred,emit,0.0,0.52337734966
284,Thermal energy that travels from the sun to Earth is transferred by ,"the complete process in which energy is emitted by one body, transmitted through an intervening medium or space, and absorbed by another body.",transferred,process,0.0,0.522409459451
285,Thermal energy that travels from the sun to Earth is transferred by ,the process in which energy is emitted as particles or waves.,transferred,process,0.0,0.521616241917
286,Thermal energy that travels from the sun to Earth is transferred by ,radiation is the emission or transmission of energy in the form of waves or particles through space or through a material medium,transferred,radiation | emission | transmission,0.0,0.52552550867
287,Thermal energy that travels from the sun to Earth is transferred by ,The particles move around from one place to another through the flow of thermal energy during convection.,travels from the sun to earth,flow of thermal energy,0.003,0.523180197322
288,Thermal energy that travels from the sun to Earth is transferred by ,Heat was transferred from the flame of the stove to the water by convection.,travels from the sun to earth,from the flame of the stove,0.2462,0.523278912322
289,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Condensation is defined as the phase change from gas (vapor) to liquid.,water,gas,0.0,-0.0786008023802
290,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance.,water,liquid,0.1352,0.0851677773498
291,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The change of a liquid into a vapor at a temperature below the boiling point.,water,liquid,0.1352,-0.0780079048733
292,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","The changing of a liquid into a gas, often under the influence of heat (as in the boiling of water).",water,liquid,0.1352,-0.0776112252787
293,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Liquid water changing to water vapor is evaporation.,water,liquid water,1.0,-0.0775359072715
294,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The energy from the sun heated the water and caused it to evaporate - change from liquid water to water vapor.,water,liquid water,1.0,-0.0786017260258
295,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The process of liquid water changing into water vapor is called evaporation.,water,liquid water,1.0,-0.078081023528
296,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The liquid and solid water particles that fall from clouds and reach the ground are known as precipitation,water,liquid | solid water,1.0,-0.0787007383403
297,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation and condensation are two processes through which matter changes from one state to another.,water,matter,0.1442,-0.0772646797163
298,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","In evaporation, matter changes from a liquid to a gas.",water,matter | liquid,0.0753,-0.0754107464917
299,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",evaporation - the process of extracting moisture,water,moisture,0.0,0.0805379669136
300,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","Essential oils evaporate readily and are easily damaged by light, extremes of temperature and prolonged exposure to oxygen in the air.",water,oils,0.0,-0.0752309757956
301,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation is the process of a substance in a liquid state changing to a gaseous state due to an increase in temperature and/or pressure.,water,substance | liquid state,0.0535,-0.0791055942549
302,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Surface water is evaporated from the earth by the energy of the sun.,water,surface water,1.0,-0.0774690993083
303,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water drops on the outside of a cold glass of water are condensed water.,water,water,1.0,-0.0793412158904
304,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",precipitation Water falling to the Earth.,water,water,1.0,0.0305937129354
305,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",precipitation Water that falls to the Earth from the sky.,water,water,1.0,0.0750394935856
306,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Rain is a form of precipitation in which water falls back to earth as a liquid.,water,water,1.0,0.0816606438961
307,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","Also when the air cannot hold any more water, it precipitates.",water,water,1.0,-0.0779050107262
308,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Precipitation is the term used to describe water (moisture) that falls from the sky.,water,water,1.0,0.0849019185902
309,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Different forms of precipitation include: Rain is liquid water falling from the sky.,water,water,1.0,-0.0756393947612
310,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Clouds get their water from evaporation.,water,water,1.0,-0.00266431233365
311,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The change of state from water to water vapor is called evaporation.,water,water,1.0,-0.077523714077
312,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The water evaporated back into water vapor in the air.,water,water,1.0,-0.0773179116952
313,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water evaporates as water vapor into the air.,water,water,1.0,-0.082830253575
314,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water from the oceans enters the atmosphere through evaporation.,water,water,1.0,-0.0788859936636
315,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The condensed water molecules form liquid water droplets.,water,water molecules,1.0,-0.0776152791637
316,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",condensation is the process in which water vapor in the air is changed into liquid water.,water,water vapor,1.0,-0.0779204299656
317,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",The water in a cloud comes from water vapor in the air that has condensed.,water,water vapor,1.0,-0.0773913826857
318,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Water vapour condenses to liquid water.,water,water vapour,1.0,-0.0797875710648
319,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ","falling products of condensation of water vapour in the atmosphere, as rain, snow, or hail.",water,water vapour,1.0,-0.0794789768111
320,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",precipitation is any product of the condensation of atmospheric water vapour that falls under gravity.,water,water vapour,1.0,-0.0750158977613
321,"When water is heated and it is rising into the air as a gas (like water vapor), this is called: ",Evaporation involves changing water from its liquid state to a gaseous state (vapor),water,water | liquid state,1.0,-0.0797716319999
