,entailScore,sentence1,sentence2
0,0.0198,change,making 
1,0.0198,change, separating 
2,0.0198,change, applying
3,0.25,change,ratio 
4,0.25,change, presence 
5,0.25,change, characteristic 
6,0.25,change, dissolution 
7,0.25,change, effect 
8,0.25,change, chief 
9,0.25,change, second 
10,0.25,change, amount 
11,0.25,change, weathering
12,0.0,rising,context 
13,0.0,rising, union 
14,0.0,rising, base 
15,0.0,rising, key 
16,0.0,rising, tenant 
17,0.0,rising, quantity
18,0.0003,rising,temperature 
19,0.0003,rising, reference 
20,0.0003,rising, amount 
21,0.0003,rising, creation 
22,0.0003,rising, primary 
23,0.0003,rising, rain 
24,0.0003,rising, general 
25,0.0003,rising, separating 
26,0.0003,rising, deposition 
27,0.0003,rising, site 
28,0.0003,rising, difference
29,0.0,rising,confusion 
30,0.0,rising, energy 
31,0.0,rising, governing 
32,0.0,rising, evaporation 
33,0.0,rising, reason 
34,0.0,rising, heating up
35,0.0,blend,theory 
36,0.0,blend, advantage 
37,0.0,blend, science 
38,0.0,blend, second 
39,0.0,blend, premise
40,0.0,blend,tattooing 
41,0.0,blend, use
42,0.0,mowing,emotion 
43,0.0,mowing, dynamic 
44,0.0,mowing, way
45,0.0,mowing,catalyst 
46,0.0,mowing, basis
47,0.0,tell,restoration
48,0.0625,tell,resonating 
49,0.0625,tell, direction 
50,0.0625,tell, applying 
51,0.0625,tell, oscillating 
52,0.0625,tell, past 
53,0.0625,tell, frequency 
54,0.0625,tell, key 
55,0.0625,tell, repeating
56,0.0003,heated,making 
57,0.0003,heated, separating 
58,0.0003,heated, applying
59,1.0,heated,confusion 
60,1.0,heated, energy 
61,1.0,heated, governing 
62,1.0,heated, evaporation 
63,1.0,heated, reason 
64,1.0,heated, heating up
65,0.1111,movement,existence 
66,0.1111,movement, current 
67,0.1111,movement, primary
68,0.0,movement,story 
69,0.0,movement, standard
70,0.4628,change,information 
71,0.4628,change, estimation 
72,0.4628,change, applying 
73,0.4628,change, ability 
74,0.4628,change, taking 
75,0.4628,change, rule 
76,0.4628,change, portion 
77,0.4628,change, future 
78,0.4628,change, incorporated 
79,0.4628,change, net 
80,0.4628,change, law 
81,0.4628,change, temperature
82,0.0278,change,context 
83,0.0278,change, union 
84,0.0278,change, base 
85,0.0278,change, key 
86,0.0278,change, tenant 
87,0.0278,change, quantity
88,0.0625,change,temperature 
89,0.0625,change, reference 
90,0.0625,change, amount 
91,0.0625,change, creation 
92,0.0625,change, primary 
93,0.0625,change, rain 
94,0.0625,change, general 
95,0.0625,change, separating 
96,0.0625,change, deposition 
97,0.0625,change, site 
98,0.0625,change, difference
99,1.0,change,confusion 
100,1.0,change, energy 
101,1.0,change, governing 
102,1.0,change, evaporation 
103,1.0,change, reason 
104,1.0,change, heating up
105,0.0142,turning,temperature 
106,0.0142,turning, reference 
107,0.0142,turning, amount 
