,entailScore,sentence1,sentence2
0,0.0,rock,a glass composition from the batch of glass making ceramic 
1,0.0,rock, the two strands wound in a double helix 
2,0.0,rock, a minimum of 3 colors
3,0.0,rock,a glass composition from the batch of glass making ceramic 
4,0.0,rock, the two strands wound in a double helix 
5,0.0,rock, a minimum of 3 colors
6,0.0,water,solid particles
7,0.0823,water,a material
8,0.0,liquids,a glass composition from the batch of glass making ceramic 
9,0.0,liquids, the two strands wound in a double helix 
10,0.0,liquids, a minimum of 3 colors
11,0.0,liquids,a material
12,0.0,Waves,a variety of different metals 
13,0.0,Waves, a witness 's testimony
14,0.0,Waves,solid particles
15,0.0,Waves,a material
16,0.1952,new aluminum,used waste and materials 
17,0.1952,new aluminum, waste paper 
18,0.1952,new aluminum, existing and proven technologies 
19,0.1952,new aluminum, v http://pinterest.com/pin/488359153317463714/ 
20,0.1952,new aluminum, mortgage debt 
21,0.1952,new aluminum, a product 
22,0.1952,new aluminum, single - source waste materials 
23,0.1952,new aluminum, vehicles ' tires -lrb- british english tyres -rrb- that are no longer suitable for use on vehicles due to wear or ... 
24,0.1952,new aluminum, new products 
25,0.1952,new aluminum, this bulky item 
26,0.1952,new aluminum, materials that would otherwise be thrown away as trash and turning them into new 
27,0.1952,new aluminum, scrap or waste plastic
28,0.0004,plants,the pieces of your sense of self back together in a way that makes you happy
29,0.0,plants,"reproductions , or prints , of painted art works"
30,1.0,plants,the pollen of a flower 
31,1.0,plants, tiny pollen cells 
32,1.0,plants, the male part of the plant -lrb- pollen -rrb- 
33,1.0,plants, pollen
34,0.0,reaction,a substance 
35,0.0,reaction, cookies 
36,0.0,reaction, one or more substances
37,0.0,things,a performance boost 
38,0.0,things, the velocity of the sales process
39,0.0,substances,certain aspects of the evolutionary system 
40,0.0,substances, additional functionality 
41,0.0,substances, society
42,0.1452,substances,the environment 
43,0.1452,substances," water , air , or land"
44,0.0,water,solid particles
45,0.0,water,solid particles
46,0.0,water,binary data 
47,0.0,water, an organization 's data storage requirements to an outside managed service provider 
48,0.0,water, something
49,0.0,water,binary data 
50,0.0,water, an organization 's data storage requirements to an outside managed service provider 
51,0.0,water, something
52,0.0823,water,a material
53,0.0823,water,a material
54,0.0,organism,a program to reduce mismatches between its characteristics and those of the new context in which it is to be implemented or ... 
55,0.0,organism, your metabolism 
56,0.0,organism, your message 
57,0.0,organism, actions
58,0.0,organism,the skin
59,0.0065,water,biochemical energy -lrb- stored as atp -rrb- 
60,0.0065,water, oxygen 
61,0.0065,water, energy 
62,0.0065,water, gases 
63,0.0065,water, atp 
64,0.0065,water, chemical energy 
65,0.0065,water, cellular energy involving oxygen 
66,0.0065,water, cellular energy 
67,0.0065,water, glucose
68,0.0065,air,biochemical energy -lrb- stored as atp -rrb- 
69,0.0065,air, oxygen 
70,0.0065,air, energy 
71,0.0065,air, gases 
72,0.0065,air, atp 
73,0.0065,air, chemical energy 
74,0.0065,air, cellular energy involving oxygen 
