QUESTION,ANSWER_CHOICE,Q_UNDERGOER,A_UNDERGOER,UNDERGOER_SCORE,Q_ENABLER,A_ENABLER,ENABLER_SCORE,Q_TRIGGER,A_TRIGGER,TRIGGER_SCORE,Q_RESULT,A_RESULT,RESULT_SCORE,Q_UNDERSPECIFIED,A_UNDERSPECIFIED,UNDERSPECIFIED_SCORE,CORRECT_ANSWER,PREDICTED_ANSWER,PREDICTION
What starts the change from an igneous rock to a sedimentary rock?,melting,rock|rock,a glass composition from the batch of glass making ceramic | the two strands wound in a double helix | a minimum of 3 colors,0.0000,,"of the average lattice spacing | above 178c and results in a t10 rise of up to 5168c above ta | strong delocalization of a cer tain fraction of lattice atoms | that | from the residue during the ascent of magma through the earth 's | ingrowth of 226ra | than teut | warm sea water | by adaf management systems , or transported to receiving waters | previously reported changes to wind forcing over the southern ocean | from lethargic | by thermal convection -lrb- huppert & sparks 1988b , c -rrb- | one or more of three | falling ice particles | that the shear modulus of the solid phase reduces to zero",,change,making | separating | applying,0.0198,,"outline areas that were located relatively close -lrb- within a few | initiate reactions among metallic particles under shock wave loading | lengthy changes on the gps antenna height placed in this area increasingly or decreasingly . | the liquid state | freshen and stabilize the mixed layer and together with the residual perennial ice cover | the ice to melt | an iceberg to change shape , too . | oiling which is what will happen if you just put soft butter on it . | reduce lead times | enormous volumes of water to flow through and under the glacier | generate an aluminum vapor at the equilibrium temperature , which is 2790 k at the atmosphere | ocean circulation changes that prompt a feedback loop , letting warmer ocean water reach | concentrate debris on the glacier surface | the flux to change over a length scale larger than the .",,,a solid to a liquid |a liquid | a solid |a liquid | solid to liquid |liquid,,weathering,weathering,TRUE
What starts the change from an igneous rock to a sedimentary rock?,weathering,rock|rock,,,,"with acidic and oxidizing substances | to the atmosphere | photo-degradation of lignin in the materials | with rocks | rocks to disintegrate | it | temperature , wind , waves and the characteristic of | in a state in which they are not stable | physical changes such as changes in | heating and cooling | to temperatures , pressures and moisture conditions characteristic of the atmosphere | chemical weathering | the scouring of rocks by water , wind , or ice | purely mechanical changes to the rock | elapsed time | ice | with water , acids , and other substances to dissolve the material | directly or indirectly on minerals leading to significant alterations in the organization of the initial | into smaller pieces by | situations such as wind , rain , ice or lava that carry away materials | differences in volatilization , partitioning , chemical transformation , photo-degradation , biodegradation , or bioaccumulation of individual | rain water | the effects of changing temperature on rocks | no chemical change in the rock as it breaks down | a solid base | moisture freezing inside cracks in rock | physical and geochemical processes , which tend to alter the equilibria of minerals | down into smaller particles but not moved | water circulating through the soil and the bedrock | no carbonate correction | a gravestone to weather , or break down | down by chemical action resulting in a change in the composition of a rock | after being exposed to things like acid or oxygen | i | temperature changes causing small portions of the material to crumble and pile up on the bottom of an incline | the wetting | large impacts which pulverize rocks to soil | mechanical fracturing of rocks , such as that due to the freezing of water in cracks | physical changes such as changes in temperature , freezing and thawing | rocks to dissolve or decompose | mechanical and mostly chemical processes that take place while water in the fractures interacts with the formation larsson | macroeconomic stability",,change,ratio | presence | characteristic | dissolution | effect | chief | second | amount | weathering,0.2500,,"is to breakdown the earth 's soil , rocks , and minerals . | fragmentation of rock | reduce the gradient and increase the width of wave-cut surfaces | turn rocks into soil | addition to al , feiii , | achieve stability under surface conditions | billions of dollars in product damage every year , including color change | its component elements",,,,,weathering,weathering,TRUE
"When water is heated and it is rising into the air as a gas (like water vapor), this is called:",condensation,water,,,,"excessive moisture in the house | what | condensation | element depletion from | a conserved current associated with the bosons | the opening of spin density wave -lrb- sdw -rrb- gap | things you do in your day | the release of latent heat as shown in | repeated heating and cooling cycles | basic catalysis of the reaction mixture | replacement of the bridge chlorine atoms by a co | rh reaching 100 % -rrb- or carbon | the enzyme | cooling | forced ventilation with air of a dew-point temperature higher than the temperature of the tubers | which | into contact with cool surfaces , such as glass | wet air -lrb- inside of girders -rrb- | to the point where the relative humidity is approximately",,rising,context | union | base | key | tenant | quantity,0.0000,water,more damage than inside condensation and not many people know about it . | alleviate this problem by shortening the effective length of the chromosome | make the spirit smooth | helps to ...,0.0000,,gas |liquid | a vapor |a liquid | a gas |a liquid | a vapour |a liquid,,evaporation,evaporation,TRUE
"When water is heated and it is rising into the air as a gas (like water vapor), this is called:",precipitation,water,solid particles,0.0000,,"the nature of the clouds , which tend to be convective , bringing brief periods of heavy | added ca | that the air can not hold it anymore | atmospheric moisture | reduction in water activity | environment | its incorporation into the antigen-antibody complex | many processes that occur over a wide range of | which | that the air ca n't hold it anymore | a volume uptake coefficient larger than 10 mol m3 pa1 | the anaerobic fermentation of volatile fatty acids -lrb- vfas -rrb- , which adds carbonate to and raises the ph of the leachate | a combination of different processes causing | by the earth 's warm surface | saturated with moisture , and the condensation of water vapour leads to water droplets that fall to the | the literature | the | dye to arabic acid | micro-physical processes which involve air motion within the cloud | saturated with water vapor | oceanic circulation and the rain shadow effect | the western disturbances which are | dilution | either in the",,rising,temperature | reference | amount | creation | primary | rain | general | separating | deposition | site | difference,0.0003,water,"the protein to fall out of solution , at which time the interfering buffer can be removed and the protein resolubilized . | solve these problems | provide better tree health for the large energy demand during fertilization , cone enlargement , and seed ripening the following year | support many types of plants | predict the occurrences of | the glaciers to | save nad + required for complete removal of aldehyde from the soybean protein by aldehyde dehydrogenase | create this country '' `` s many rivers , some of which are prone to flooding , and besides this | provide an improved initial condition for ensemble forecasting in which convection can develop in accordance with the observations | generate sliding in glacial lakebed terrace deposits",1.0000,,the atmosphere |the ground,,evaporation,evaporation,TRUE
"When water is heated and it is rising into the air as a gas (like water vapor), this is called:",evaporation,water,a material,0.0823,,"at the saturation condition and the heat provided by the wall | the temperature of the waste | , a complete reversal of the other situ - ations | rapid warming of the particles which are either sedimenting and/or are blown downward | in a dry , sealed bottle | the inlet of hot gases -lrb- dispersed phase -rrb- | the capillary rise of groundwater into the evaporation-influenced soil zone | which | at a depth of 1/7 | and the tiny droplets of liquid are converted into vapor | warm enough that they turn into vapours and leave the cup and escape into the air | temperatures well in excess of melt temperature of the powder particles -lrb- gao | in the discharge tube and the the basic substances has a boiling point above latter may be | the diffusion of vapour | transport of heat from the soil surface into the soil profile | a longer residing time of particle inside the plasma | an increased energy present and occurs rapidly | the kinetic isotope effect | microscopic processes just outside the '' `` horizon | high dust temperature | out overnight and the water level is found to drop",,rising,confusion | energy | governing | evaporation | reason | heating up,0.0000,water,keep the planet 's temperature stable | cooling evaporation | concentrate a non-volatile solute from a solvent by | cooling 2 | create weather outdoors | the water 's salt content to increase | contrary to popular belief | helps to ... | forget suboptimal solutions that gathered enough | maintain body temperature | mainly a water deficit,1.0000,,a liquid |a gas -lrb- vapor -rrb- | liquid |vapour | a liquid |a gas | soil and/or plant surfaces |the atmosphere | liquid form to vapor form -lrb- evaporation -rrb- |vapor form -lrb- evaporation -rrb- | solution | liquid |gas | its liquid form to its vapor form |its vapor form | a liquid to a vapour phase at |a vapour phase at | a solution to produce | liquid |water vapor | a liquid to a gas |a gas | a liquid | liquid to gas |gas | liquid to gaseous state |gaseous state,,evaporation,evaporation,TRUE
"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. ",mimicry,,,,,"her situation | to resemble each other | harmless species to fool prey | to resemble each other , presumably to reduce predator sampling rates , the heliconius butterflies | developmental or genetic constraints | unintentional selection by humans | common infectious agents which do not exhibit the same geographic variance | to resemble a second species -lrb- the model -rrb- be - cause of the selective benefits associated with confusing | of sufficient quality to deceive -lrb- 1 -rrb- the model species or -lrb- 2 -rrb- species other than the model that . | the fact that predators need to be educated to | to resemble one another | features similar to another species | the behaviors of another person | the colour pattern of the internal organs -lrb- mainly the mantle -rrb- which pattern is visible through the -lrb- semi -rrb- transparent shell | the opposite sex in its behavior , appearance , or chemical signalling | one another despite being unrelated and all | that lack of awareness | is also well-defended | divergence between a stimulus and its established meaning to the signal perceiver , with or without | species evolve to mimic each other | one another in appearance | to look like each other",,blend,theory | advantage | science | second | premise,0.0000,,ferentiate the colonizer-colonized relationship from that of adults and children | make the interaction an easier and more pleasant experience | keep them safe while they | facilitate positive social interactions | an increase in rapport | put them in physiological states similar to the babies such as smiling | immense consternation in effusion cytology and sets both overcall and undercall pitfalls in our path . | social influence | an increase in rapport between two interactants | create affiliation and rapport because the desire to build such a relationship is higher in the similarity condition | trick your enemies | show that he was just,,,,,camouflage,mimicry,FALSE
"<span class=""blank""> </span> is an animal's color or pattern that helps it blend in with its surroundings. ",camouflage,,the skin,,,without identification | egg color | a difference from the background model that,,blend,tattooing | use,0.0000,,"break up a silhouette by blending a shape 's edges with its surroundings | break up the human outline | hide the object 's | the user to change its type based on the current terrain : normal type in buildings , paved/plain terrain or wi-fi/linked battles . | hide you | reduce the odds that someone will | any moving platoon to stop | defeat | persuade the enemy",,,,,camouflage,mimicry,FALSE
mowing the lawn,physical change,,,,,temperature changes of the water | creep of the membrane plastic | back to liquid | the bonds that solidify the wax | through a change that does n't alter its chemical nature,,mowing,emotion | dynamic | way,0.0000,,,,,,,physical change,physical change,TRUE
mowing the lawn,chemical change,,,,,as a result of the change | themselves in | a change in the arrangement of the atoms involved so a different substance with different properties is produced | electrical energy applied from some external source | with oxygen | a cake that my family enjoys | shaking,,mowing,catalyst | basis,0.0000,,,,,,,physical change,physical change,TRUE
Being able to tell different sounds apart is called,sound discrimination,,,,,,,tell,restoration,0.0000,,,,,,,sound discrimination,vibration,FALSE
Being able to tell different sounds apart is called,vibration,,mechanical tactile,,,"surfaces and a component vibrating strongly enough to turn them into a secondary sound source | from one extreme position to the other extreme | pressure pulsation | magnetostriction forces | engine unbalance | the latter | in hand | off with an initial input and then allowed to vibrate freely | vibrating hand tools such as air operated tools , pneumatic and electric , and ... | the level of vibration | the sensor 's inability to regulate the timing of fuel injection which leads to insufficient fuel while the car is idling | in harmony with another piece of equipment | repeated unbalanced forces being applied to the tube | a synchronised resonation | the wheels of a tram rolling along the rail | actuation | vibrating hand tools such as air operated tools , pneumatic and electric , | sources within a building such as the operation of mechanical equipment | holding a tool , piece of work or control device | slamming in waves , causing so called | operation time | hinging movement of ossicles due to air conduction stimulus at the level of umbo | impact occurring in a vehicle powertrain | small weight of vibrating parts | electro dynamic force due to interaction of the current in the winding with | oscillation of a miniature size motor with an off center weight | speakers tuned to 250hz - the maximum sensitivity of the | either a tire/wheel issue , or a driveline component | the boundary layer coming into the cavity | sound which causes an object to struck | electric explosion pulses | initial displacement or velocity",,tell,resonating | direction | applying | oscillating | past | frequency | key | repeating,0.0625,,relax the entire body | retrain ' the body and regain some lost stability for those with ongoing stability issues | two main problems : fatigue failure and failure due to excessive deformation . | illusory sensation of bite force when unloading the load -lrb- fig | achieve the following objectives : a -rrb- to drive the paving unit into the bedding sand so that the bedding sand layer will not be | in machines and structures : machines | keep the meshes clear of | help break up lung secretions,,,,,sound discrimination,vibration,FALSE
"When liquids are heated, this occurs:",melting,liquids,a glass composition from the batch of glass making ceramic | the two strands wound in a double helix | a minimum of 3 colors,0.0000,,"of the average lattice spacing | above 178c and results in a t10 rise of up to 5168c above ta | strong delocalization of a cer tain fraction of lattice atoms | that | from the residue during the ascent of magma through the earth 's | ingrowth of 226ra | than teut | warm sea water | by adaf management systems , or transported to receiving waters | previously reported changes to wind forcing over the southern ocean | from lethargic | by thermal convection -lrb- huppert & sparks 1988b , c -rrb- | one or more of three | falling ice particles | that the shear modulus of the solid phase reduces to zero",,heated,making | separating | applying,0.0003,,"outline areas that were located relatively close -lrb- within a few | initiate reactions among metallic particles under shock wave loading | lengthy changes on the gps antenna height placed in this area increasingly or decreasingly . | the liquid state | freshen and stabilize the mixed layer and together with the residual perennial ice cover | the ice to melt | an iceberg to change shape , too . | oiling which is what will happen if you just put soft butter on it . | reduce lead times | enormous volumes of water to flow through and under the glacier | generate an aluminum vapor at the equilibrium temperature , which is 2790 k at the atmosphere | ocean circulation changes that prompt a feedback loop , letting warmer ocean water reach | concentrate debris on the glacier surface | the flux to change over a length scale larger than the .",,,a solid to a liquid |a liquid | a solid |a liquid | solid to liquid |liquid,,evaporation,evaporation,TRUE
"When liquids are heated, this occurs:",evaporation,liquids,a material,0.0000,,"at the saturation condition and the heat provided by the wall | the temperature of the waste | , a complete reversal of the other situ - ations | rapid warming of the particles which are either sedimenting and/or are blown downward | in a dry , sealed bottle | the inlet of hot gases -lrb- dispersed phase -rrb- | the capillary rise of groundwater into the evaporation-influenced soil zone | which | at a depth of 1/7 | and the tiny droplets of liquid are converted into vapor | warm enough that they turn into vapours and leave the cup and escape into the air | temperatures well in excess of melt temperature of the powder particles -lrb- gao | in the discharge tube and the the basic substances has a boiling point above latter may be | the diffusion of vapour | transport of heat from the soil surface into the soil profile | a longer residing time of particle inside the plasma | an increased energy present and occurs rapidly | the kinetic isotope effect | microscopic processes just outside the '' `` horizon | high dust temperature | out overnight and the water level is found to drop",,heated,confusion | energy | governing | evaporation | reason | heating up,1.0000,,keep the planet 's temperature stable | cooling evaporation | concentrate a non-volatile solute from a solvent by | cooling 2 | create weather outdoors | the water 's salt content to increase | contrary to popular belief | helps to ... | forget suboptimal solutions that gathered enough | maintain body temperature | mainly a water deficit,,,a liquid |a gas -lrb- vapor -rrb- | liquid |vapour | a liquid |a gas | soil and/or plant surfaces |the atmosphere | liquid form to vapor form -lrb- evaporation -rrb- |vapor form -lrb- evaporation -rrb- | solution | liquid |gas | its liquid form to its vapor form |its vapor form | a liquid to a vapour phase at |a vapour phase at | a solution to produce | liquid |water vapor | a liquid to a gas |a gas | a liquid | liquid to gas |gas | liquid to gaseous state |gaseous state,,evaporation,evaporation,TRUE
"The continuous movement of nitrogen between air, soil, plants and animals.",carbon cycle,nitrogen|soil|plants|animals,,,,"biochemical processes | up carbon from the atmosphere | hydrologic fluctuations , particularly rainfall -lrb- pa - tra et al. , 2005 ; | heliomagnetic modulation of the cosmic ray flux | over and over again on earth | over and over | living things | human activities | into organic form through the process of photosynthesis",,movement,existence | current | primary,0.1111,,important feedbacks to the climate and is itself particularly susceptible to extreme climate events . | impor - . | maintain global temperatures so earth 's climate does not get too hot or ... | a net carbon sink of .,,,,,nitrogen cycle,carbon cycle,FALSE
"The continuous movement of nitrogen between air, soil, plants and animals.",nitrogen cycle,nitrogen|soil|plants|animals,,,,the ecosystem | fuel combustion,,movement,story | standard,0.0000,,,,,,,nitrogen cycle,carbon cycle,FALSE
