,entailScore,sentence1,sentence2
0,0.0,water,more damage than inside condensation and not many people know about it . 
1,0.0,water, alleviate this problem by shortening the effective length of the chromosome 
2,0.0,water, make the spirit smooth 
3,0.0,water, helps to ...
4,1.0,water,"the protein to fall out of solution , at which time the interfering buffer can be removed and the protein resolubilized . "
5,1.0,water, solve these problems 
6,1.0,water," provide better tree health for the large energy demand during fertilization , cone enlargement , and seed ripening the following year "
7,1.0,water, support many types of plants 
8,1.0,water, predict the occurrences of 
9,1.0,water, the glaciers to 
10,1.0,water, save nad + required for complete removal of aldehyde from the soybean protein by aldehyde dehydrogenase 
11,1.0,water," create this country '' `` s many rivers , some of which are prone to flooding , and besides this "
12,1.0,water, provide an improved initial condition for ensemble forecasting in which convection can develop in accordance with the observations 
13,1.0,water, generate sliding in glacial lakebed terrace deposits
14,1.0,water,keep the planet 's temperature stable 
15,1.0,water, cooling evaporation 
16,1.0,water, concentrate a non-volatile solute from a solvent by 
17,1.0,water, cooling 2 
18,1.0,water, create weather outdoors 
19,1.0,water, the water 's salt content to increase 
20,1.0,water, contrary to popular belief 
21,1.0,water, helps to ... 
22,1.0,water, forget suboptimal solutions that gathered enough 
23,1.0,water, maintain body temperature 
24,1.0,water, mainly a water deficit
25,0.1932,water vapor,"the protein to fall out of solution , at which time the interfering buffer can be removed and the protein resolubilized . "
26,0.1932,water vapor, solve these problems 
27,0.1932,water vapor," provide better tree health for the large energy demand during fertilization , cone enlargement , and seed ripening the following year "
28,0.1932,water vapor, support many types of plants 
29,0.1932,water vapor, predict the occurrences of 
30,0.1932,water vapor, the glaciers to 
31,0.1932,water vapor, save nad + required for complete removal of aldehyde from the soybean protein by aldehyde dehydrogenase 
32,0.1932,water vapor," create this country '' `` s many rivers , some of which are prone to flooding , and besides this "
33,0.1932,water vapor, provide an improved initial condition for ensemble forecasting in which convection can develop in accordance with the observations 
34,0.1932,water vapor, generate sliding in glacial lakebed terrace deposits
35,0.0,water vapor,more damage than inside condensation and not many people know about it . 
36,0.0,water vapor, alleviate this problem by shortening the effective length of the chromosome 
37,0.0,water vapor, make the spirit smooth 
38,0.0,water vapor, helps to ...
39,0.0027,water vapor,"hazardous situations as it is easy to trip over kick-scooters and/or bicycles , or drive over them with a car . "
40,0.0027,water vapor," difficult pouring : when improperly stored at ambient temperature , kegs of draught beer will warm quickly and become difficult to pour in ... "
41,0.0027,water vapor, solve multiple problems 
42,0.0027,water vapor," a format that can be used to support both data publication and analysis , including "
43,0.0027,water vapor, fulfill these requirements by offering three copy services premium features 
44,0.0027,water vapor, transcend these challenges 
45,0.0027,water vapor, store your capsules easily 
46,0.0027,water vapor, data corruption . 
47,0.0027,water vapor, manage temporary supply chain disruptions and lng transit times 
48,0.0027,water vapor, joint stiffening and swelling and complex skeletal deformities known as dysostosis multiplex . 
49,0.0027,water vapor, protect it and makes retrieving it later much easier 
50,0.0027,water vapor, a severe suppression in the voltage of the foam positive electrode . 
51,0.0027,water vapor, obtain or raise loans by providing collateral security of the goods stored 
52,0.0027,water vapor, address renewable energy intermittency 
53,0.0027,water vapor, to the 
54,0.0027,water vapor," organize hand tools , parts , power tools , etc. "
55,0.0027,water vapor," maintain a satisfactory level of service as demand varies with the time of day , to ensure continued service during "
56,0.0027,water vapor, address many of the performance issues associated with virtualized data centers 
57,0.0027,water vapor, keep coins from degrading in quality or picking up marks or damage 
58,0.0027,water vapor, ensure that a configuration item will not disappear or be damaged 
59,0.0027,water vapor, ensure uninterrupted recording of mission-critical audio and video 
60,0.0027,water vapor, preserve your boat 's finishes 
61,0.0027,water vapor, achieve numerous benefits of server virtualization 
62,0.0027,water vapor, preserve the quality and nutritional value of the foods you purchase 
63,0.0027,water vapor, address this issue 
64,0.0027,water vapor, put produces in a suitable environment to maintain the freshness and to extend the duration of its availability 
65,0.0027,water vapor," serve as a reservoir to handle constant , sudden or unusually high demands for air/gas that can exceed the capacity of the "
66,0.0027,water vapor, sedentism . 
67,0.0027,water vapor, ensure a constant supply of needed goods any food or ingredient removed from its 
68,0.0027,water vapor, minimize daytime noise pollution 
69,0.0027,water vapor," helps to even out fluctuations in market supply , both from one season to the next and from one year to the next , by taking produce off the market in ... "
70,0.0027,water vapor, prevent these damages from happening
71,0.2045,water vapor,keep the planet 's temperature stable 
72,0.2045,water vapor, cooling evaporation 
73,0.2045,water vapor, concentrate a non-volatile solute from a solvent by 
74,0.2045,water vapor, cooling 2 
75,0.2045,water vapor, create weather outdoors 
76,0.2045,water vapor, the water 's salt content to increase 
77,0.2045,water vapor, contrary to popular belief 
78,0.2045,water vapor, helps to ... 
79,0.2045,water vapor, forget suboptimal solutions that gathered enough 
80,0.2045,water vapor, maintain body temperature 
81,0.2045,water vapor, mainly a water deficit
82,0.0,cans,concentrate the flavors of the liquid and to increase its viscosity
83,0.0031,cans,"return used products to working order by fixing and/or replacing broken parts , whereas the quality is usually less than the quality of "
84,0.0031,cans, bring the system back to operation as soon as possible 
85,0.0031,cans, remove all the consequences of international wrongful act -lrb- permanent court of
86,1.0,cans,protect our local environment by reducing landfill 
87,1.0,cans," save energy , which can in turn help reduce our dependence on foreign oil "
88,1.0,cans, a new product 
89,1.0,cans, minimize or completely avoid sending waste to landfill or incinerator 
90,1.0,cans, take an item that has served its intended purpose and in some manner add 
91,1.0,cans, a decrease 
92,1.0,cans," save energy , which can then be used for something else "
93,1.0,cans," a raw material , which can be used for making new things "
94,1.0,cans, protect the environment 
95,1.0,cans, several important negative externalities in the us economy . 
96,1.0,cans, it 's own set of pollutants 
97,1.0,cans," conserve energy , help the environment , reduce pollution , slow global warming and reduce waste products in landfills "
98,1.0,cans, recover the largest possible amount of valuable secondary raw materials 
99,1.0,cans, reduce energy usage 
100,1.0,cans, avoid contaminating our environment 
101,1.0,cans, reduce the pollution caused by the extraction and processing of virgin materials 
102,1.0,cans, preserve the earth 's natural resources 
103,1.0,cans, reduce how much waste will be deposited in landfills 
104,1.0,cans, a significant inhibition of the rate of development of agonist-induced dvsm contractions . 
105,1.0,cans," to optimize the value of the products , particularly the natural component that forms the substance . "
106,1.0,cans, maintain the earth for future generations 
107,1.0,cans, 60s 
108,1.0,cans, sustain our environment for future generations 
109,1.0,cans," an increase of the membrane surface , indicating that the pool of vesicle membranes is fused with the ... "
110,1.0,cans, make the world a cleaner and more sustainable place both now and for our future 
111,1.0,cans, save money recycling 
112,1.0,cans, reduce the pollution caused by waste 
113,1.0,cans, around the house . 
114,1.0,cans, new products 
115,1.0,cans, protect earth 
116,1.0,cans, explain why changing scrap metal prices 
117,1.0,cans, save nature + earth + natural environment 
118,1.0,cans, preserve our environment 
119,1.0,cans, pollution -lrb- transporting the recyclables and reprocessing them generally is n't clean -rrb- 
120,1.0,cans, conserve the world 's supply 
121,1.0,cans, conserve the earth 's resources for future generations 
122,1.0,cans, keep our planet clean and green 
123,1.0,cans," conserve energy , help the environment , reduce pollution , slow global warming and reduce waste products in "
124,1.0,cans, produce new high quality material from waste
125,0.0,cans,"prevent , reduce and manage pollution , runoff , the accumulation and dispersal of waste -lrb- from overconsumption , heating "
126,0.0,cans, save the planet 
127,0.0,cans," the cgcontextdrawimage function to be six times slower , while releasing the context only takes an insignificantly short ..."
128,0.0103,water,photosynthesis to occur in the plant 
129,0.0103,water, make the muffins fluffy 
130,0.0103,water, one or more new substances 
131,0.0103,water, a different
132,0.0171,water,the color change to become invisible ! 
133,0.0171,water, chemical erosion .
134,0.0,environment,"adverse economic impacts , human health and safety issues , and ecological degradation . "
135,0.0,environment, suffering for all 
136,0.0,environment, more human deaths than hunters ever could . 
137,0.0,environment, kill other humans 
138,0.0,environment, a considerable number of problems . 
139,0.0,environment, eventual periods of mass destruction 
140,0.0,environment, hunger 
141,0.0,environment," soil erosion , sedimentation of "
142,0.0,environment," deforestation because of the creation of farmland , urban development , and from logging companies and other various industries . "
143,0.0,environment, many of today 's problems from climate change to resource depletion 
144,0.0,environment, emigration 
145,0.0,environment, harbor disease and some species
146,1.0,environment,understand how the qiongzhou strait formed and how the lowlands around the northeast vietnam and ... 
147,1.0,environment, due to fragments containing only a low resolution of the whole that the purpose of evolution is to infuse all matter with consciousness . 
148,1.0,environment, evolution . 
149,1.0,environment," gain experience and self-awareness of the universe 's primal nature , which is compassion "
150,1.0,environment," keep that which is good and add to it , while eliminating that which is not desirable "
151,1.0,environment, make clear how each of the nineteen episodes stands in relation to the overall narrative 
152,1.0,environment, provide an atheist substitute in young people 's curriculum instead of faith in god their creator 
153,1.0,environment, explain 
154,1.0,environment, rock 'n' roll 
155,1.0,environment, survive and reproduce 
156,1.0,environment," explain why an animal , human , and plant looks "
157,1.0,environment, elucidates how the electronic structure of the mg/pypyspypy interface depends on the chemical interaction 
158,1.0,environment," increase the amount of information a genome contains regarding its environment , the reversible molecular switch must contain "
159,1.0,environment, achieve 
160,1.0,environment, create a better specimen 
161,1.0,environment, explain why parties are so tribal and politics so divisive 
162,1.0,environment, ensure the perpetuation and survival of our species 
163,1.0,environment, a change to occur in a particular structure or process of an organism 
164,1.0,environment, other species 
165,1.0,environment," an increased population of stars on the giant branch , and it is the light from these red giants that dominates the red and infrared colors of ... "
166,1.0,environment," make them fully conscious and able to master the matter of all the worlds , therefore the conditions embodied in globes , worlds , "
167,1.0,environment, hydrologic effects . 
168,1.0,environment, maximize creativity 
169,1.0,environment, make sense of why some agents
170,0.0,environment,"cns oxidative stress , neuroinflammation , neuron "
171,0.0,environment, find ways of reducing the impact of human activities 
172,0.0,environment, oxidant-mediated increase in gut permeability in mice . 
173,0.0,environment, cancer deaths . 
174,0.0,environment, sustain long-running red tide blooms like the one that 's killed a record number 
175,0.0,environment," almost three times more deaths than malaria , ... "
176,0.0,environment, reduce light pollution 
177,0.0,environment, short-term memory loss and lower iq in children . 
178,0.0,environment, extreme weather . 
179,0.0,environment," ground level ozone , or smog , which can burn lung tissue , exacerbate asthma , and make people more susceptible "
180,0.0,environment," at least five serious types of health problems , including respiratory problems , birth defects , blood disorders "
181,0.0,environment," at least us $ 13 billion each year to industries that include fishing , shipping , tourism and the cleaning of coastlines -lrb- unep ... "
182,0.0,environment," , industrialization , population growth , globalization ."
183,0.1563,vapor,"the protein to fall out of solution , at which time the interfering buffer can be removed and the protein resolubilized . "
184,0.1563,vapor, solve these problems 
185,0.1563,vapor," provide better tree health for the large energy demand during fertilization , cone enlargement , and seed ripening the following year "
186,0.1563,vapor, support many types of plants 
187,0.1563,vapor, predict the occurrences of 
188,0.1563,vapor, the glaciers to 
