,entailScore,sentence1,sentence2
0,0.2083,bleaching your hair ,"A change in the physical state of a molecule, object, wave or system."
1,0.2083,bleaching your hair ,"A change at the molecular, atomic or subcellular level in an organism."
2,0.0,bleaching your hair ,"Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity"
3,0.0448,bleaching your hair ,"Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants"
4,0.0,bleaching your hair ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances"
5,0.0,bleaching your hair ,A chemical reaction is a process in which one or more substances are converted into other substances.
6,0.098,bleaching your hair ,A physical change involves a change in physical properties
7,0.098,bleaching your hair ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition
8,0.098,bleaching your hair ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds."
9,0.098,bleaching your hair ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition."
10,0.0256,Burning a match is a ,"A change in the physical state of a molecule, object, wave or system."
11,0.0256,Burning a match is a ,"A change at the molecular, atomic or subcellular level in an organism."
12,0.0,Burning a match is a ,"Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity"
13,0.0055,Burning a match is a ,"Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants"
14,0.0,Burning a match is a ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances"
15,0.0,Burning a match is a ,A chemical reaction is a process in which one or more substances are converted into other substances.
16,0.012,Burning a match is a ,A physical change involves a change in physical properties
17,0.012,Burning a match is a ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition
18,0.012,Burning a match is a ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds."
19,0.012,Burning a match is a ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition."
20,0.6667,corroding metal ,"A change in the physical state of a molecule, object, wave or system."
21,0.6667,corroding metal ,"A change at the molecular, atomic or subcellular level in an organism."
22,0.0,corroding metal ,"Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity"
23,0.1433,corroding metal ,"Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants"
24,0.0,corroding metal ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances"
25,0.0,corroding metal ,A chemical reaction is a process in which one or more substances are converted into other substances.
26,0.3137,corroding metal ,A physical change involves a change in physical properties
27,0.3137,corroding metal ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition
28,0.3137,corroding metal ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds."
29,0.3137,corroding metal ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition."
30,0.5216,fireworks exploding ,"A change in the physical state of a molecule, object, wave or system."
31,0.5216,fireworks exploding ,"A change at the molecular, atomic or subcellular level in an organism."
32,0.0,fireworks exploding ,"Chemical reactions can be either spontaneous, requiring no input of energy, or non-spontaneous, typically following the input of some type of energy, such as heat, light or electricity"
33,0.1121,fireworks exploding ,"Chemical reactions are usually characterized by a chemical change, and they yield one or more products, which usually have properties different from the reactants"
34,0.0,fireworks exploding ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances"
35,0.0,fireworks exploding ,A chemical reaction is a process in which one or more substances are converted into other substances.
36,0.2454,fireworks exploding ,A physical change involves a change in physical properties
37,0.2454,fireworks exploding ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition
38,0.2454,fireworks exploding ,"Physical changes are used to separate mixtures into their component compounds, but can not usually be used to separate compounds into chemical elements or simpler compounds."
39,0.2454,fireworks exploding ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition."
40,1.0,fireworks exploding ,"Physical changes are changes affecting the form of a chemical substance, but not its chemical composition."
41,0.0,fireworks exploding ,"A change in the physical state of a molecule, object, wave or system."
42,0.5318,fireworks exploding ,Physical changes occur when objects or substances undergo a change that does not change their chemical composition
43,0.3503,fireworks exploding ,A chemical reaction is a process in which one or more substances are converted into other substances.
44,0.0,fireworks exploding ,"A change at the molecular, atomic or subcellular level in an organism."
45,1.0,fireworks exploding ,"Chemical changes occur when a substance combines with another to form a new substance, called synthesis or, alternatively, decomposes into two or more different substances"
46,1.0,A giraffe's long neck is a(n) ,A primary defense against predators throughout the animal kingdom (and against the enemy during human warfare) is to avoid detection or recognition through camouflage
47,0.3478,A giraffe's long neck is a(n) ,"Something, that makes an animal, person, building etc. difficult for enemies to see."
48,1.0,A giraffe's long neck is a(n) ,The last method of camouflage animals might use is called mimicry.
49,1.0,A giraffe's long neck is a(n) ,"Animals use concealing or disruptive coloration, disguise, and mimicry to protect themselves."
50,1.0,A giraffe's long neck is a(n) ,The adaptation of animals are the features an animal has to live in their environment.
51,1.0,A giraffe's long neck is a(n) ,Some animals use camouflage to hide from their enemies.
52,1.0,A giraffe's long neck is a(n) ,Most animals of the open sea use at least one of these methods to camouflage themselves.
53,1.0,A giraffe's long neck is a(n) ,Prey animals often use camouflage to hide from predators.
