,entailScore,sentence1,sentence2
0,0.0001,salt,contact between oil or dander of some fruits and plants and uv rays 
1,0.0001,salt, the fact that a homogeneous model with catalyst and gas having ... 
2,0.0001,salt, exposure to light 
3,0.0001,salt, the difference 
4,0.0001,salt, moving molecules from aspartic acid -lrb- a type of amino acid -rrb- to alpha-ketoglutaric acid -lrb- a type of acid -rrb- 
5,0.0001,salt, place 
6,0.0001,salt, the application of externally supplied electrical energy 
7,0.0001,salt, together to create 
8,0.0001,salt, moving molecules from l-alanine -lrb- a type of amino acid -rrb- to alpha 
9,0.0001,salt, or change binding partners 
10,0.0001,salt, an external voltage
11,0.0,salt,the absorption of carbon dioxide 
12,0.0,salt, the acid donating h + ions 
13,0.0,salt, together
14,1.0,in,"economic status , technology , health , education , information , skills , infrastructure , access to assets , and management "
15,1.0,in, their realization in accordance with 
16,1.0,in," under - standing within a given framework , a given set of organizational norms "
17,1.0,in, from their conditions 
18,1.0,in, some other factors and instant dis 
19,1.0,in, the toll of creeping normalcy and the constant 
20,1.0,in, an explicit client re - quest which can be an 
21,1.0,in, work activities 
22,1.0,in," a result the success of adaptation depends on factors such as economic status , technology , health , education , information skills , infrastructure , access to ... "
23,1.0,in, contacts and interactions between different cultures 
24,1.0,in," , even for a short period of time "
25,1.0,in, within 48 hours however 
26,1.0,in, selection of host-dependent as well as host-independent mutations that result in heightened exploitation of the 
27,1.0,in, natural and artificial selection in the captive environment 
28,1.0,in, desensitization of phototransduction in rods 
29,1.0,in," for temporal and spatial factors , when policies contradict one another and create "
30,1.0,in, by means other than 
31,1.0,in, how to use the technological tools available to achieve their communication goals 
32,1.0,in, genetic accommodation of a physiological life-history shift originally only expressed by plasticity 
33,1.0,in, an anti-predator adaptation 
34,1.0,in, introducing a 3-d representation of the stimuli 
35,1.0,in, how to use the technological tools available and achieve their communication aims despite technological 
36,1.0,in, the activity fatigue of the neuron 
37,1.0,in, part of what has been learnt quickly being forgotten 
38,1.0,in, interaction with the environment 
39,1.0,in, recalibration of sensory-motor-transform signals 
40,1.0,in, the loose fitting appliance.loose fitting appliance 
41,1.0,in, risk 
42,1.0,in, that 
43,1.0,in, co-operation and adaptability of person with organization 
44,1.0,in, through the adaptive element onto or off the storage capacitor 
45,1.0,in, stress 
46,1.0,in, introducing a 3-d repre - sentation of the stimuli 
47,1.0,in, low temperatures 
48,1.0,in," : the morphological changes related to ontogeny -lrb- lovett and felder , ... "
49,1.0,in, viewing a high contrast bar pattern and evidence of reduced sensitivity 
50,1.0,in, helpful to the continuation of the species in a changed environment 
51,1.0,in, overtraining it is usually too late to effectively reverse the condition of the athlete 
52,1.0,in, synaptic depression and slow afterhyperpolarization 
53,1.0,in, with a variety of situ 
54,1.0,in, what they are doing at the lower level based on their talk 
55,1.0,in, search of ways to study and understand unconscious and 
56,1.0,in, ampk 
57,1.0,in, chemical reactions 
58,1.0,in, light which strikes those parts of the retina that are tested 
59,1.0,in, feedback control of snf1 protein and its phosphorylation 
60,1.0,in, to the adapted 
61,1.0,in, depletion of releasable neurotransmitter 
62,1.0,in, bentazone 
63,1.0,in, maximal functional loading 
64,1.0,in," exposure to an adapting light bright enough to bleach a substantial number of visual pigment molecules , "
65,1.0,in, ileum-derived glucagon-like peptide-2 
66,1.0,in, to integrate transition into her life 
67,1.0,in," a change in movement based on a perceived sensory error -lrb- bastian , 2008 -rrb- "
68,1.0,in, thestructures
69,1.0,environment,"economic status , technology , health , education , information , skills , infrastructure , access to assets , and management "
70,1.0,environment, their realization in accordance with 
71,1.0,environment," under - standing within a given framework , a given set of organizational norms "
72,1.0,environment, from their conditions 
73,1.0,environment, some other factors and instant dis 
74,1.0,environment, the toll of creeping normalcy and the constant 
75,1.0,environment, an explicit client re - quest which can be an 
76,1.0,environment, work activities 
77,1.0,environment," a result the success of adaptation depends on factors such as economic status , technology , health , education , information skills , infrastructure , access to ... "
78,1.0,environment, contacts and interactions between different cultures 
79,1.0,environment," , even for a short period of time "
80,1.0,environment, within 48 hours however 
81,1.0,environment, selection of host-dependent as well as host-independent mutations that result in heightened exploitation of the 
82,1.0,environment, natural and artificial selection in the captive environment 
83,1.0,environment, desensitization of phototransduction in rods 
84,1.0,environment," for temporal and spatial factors , when policies contradict one another and create "
85,1.0,environment, by means other than 
86,1.0,environment, how to use the technological tools available to achieve their communication goals 
87,1.0,environment, genetic accommodation of a physiological life-history shift originally only expressed by plasticity 
88,1.0,environment, an anti-predator adaptation 
89,1.0,environment, introducing a 3-d representation of the stimuli 
90,1.0,environment, how to use the technological tools available and achieve their communication aims despite technological 
91,1.0,environment, the activity fatigue of the neuron 
92,1.0,environment, part of what has been learnt quickly being forgotten 
93,1.0,environment, interaction with the environment 
94,1.0,environment, recalibration of sensory-motor-transform signals 
95,1.0,environment, the loose fitting appliance.loose fitting appliance 
96,1.0,environment, risk 
97,1.0,environment, that 
98,1.0,environment, co-operation and adaptability of person with organization 
99,1.0,environment, through the adaptive element onto or off the storage capacitor 
100,1.0,environment, stress 
101,1.0,environment, introducing a 3-d repre - sentation of the stimuli 
102,1.0,environment, low temperatures 
103,1.0,environment," : the morphological changes related to ontogeny -lrb- lovett and felder , ... "
104,1.0,environment, viewing a high contrast bar pattern and evidence of reduced sensitivity 
105,1.0,environment, helpful to the continuation of the species in a changed environment 
106,1.0,environment, overtraining it is usually too late to effectively reverse the condition of the athlete 
107,1.0,environment, synaptic depression and slow afterhyperpolarization 
108,1.0,environment, with a variety of situ 
109,1.0,environment, what they are doing at the lower level based on their talk 
110,1.0,environment, search of ways to study and understand unconscious and 
111,1.0,environment, ampk 
112,1.0,environment, chemical reactions 
113,1.0,environment, light which strikes those parts of the retina that are tested 
114,1.0,environment, feedback control of snf1 protein and its phosphorylation 
115,1.0,environment, to the adapted 
116,1.0,environment, depletion of releasable neurotransmitter 
117,1.0,environment, bentazone 
118,1.0,environment, maximal functional loading 
119,1.0,environment," exposure to an adapting light bright enough to bleach a substantial number of visual pigment molecules , "
120,1.0,environment, ileum-derived glucagon-like peptide-2 
121,1.0,environment, to integrate transition into her life 
122,1.0,environment," a change in movement based on a perceived sensory error -lrb- bastian , 2008 -rrb- "
123,1.0,environment, thestructures
124,0.0006,in,without identification 
125,0.0006,in, egg color 
126,0.0006,in, a difference from the background model that
127,0.0006,environment,without identification 
128,0.0006,environment, egg color 
129,0.0006,environment, a difference from the background model that
130,0.0,seasons,a red apple 
131,0.0,seasons, limited blood supply 
132,0.0,seasons," a dormant state of sleep , during which they cool their bodies and reduce their heart rate significantly "
133,0.0,seasons, high myoglobin level 
134,0.0,seasons," storage of cells in peripheral lymphoid organs but not in spleen , liver "
135,0.0,seasons, a drop in food supply 
136,0.0,seasons, chronic critical ischemia leading to a slow partial recovery at 2 to 6 weeks after reperfusion .5 in contrast 
137,0.0,seasons, a down regulation of myocardial function 
